Careless Whisper | George Michael
Without You | Harry Nilsson
Me and Mrs. Jones | Billy Paul
When a Man Loves a Woman | Michael Bolton
How Am I Supposed to Live Without You | Michael Bolton
Baby Can I Hold You | Tracy Chapman
The Reason | Hoobastank
Suddenly | Billy Ocean
There'll Be Sad Songs (To Make You Cry) | Billy Ocean
True (Single Edit) | Spandau Ballet
Total Eclipse Of The Heart | Bonnie Tyler
It's a Heartache | Bonnie Tyler
Islands In the Stream | Dolly Parton
Lady | Kenny Rogers
I Believe In You | Don Williams
Over the Rainbow | Israel Kamakawiwo'ole
Take on Me | a-ha
The Sun Always Shines on T.V. | a-ha
Just The Way You Are (Single Version) | Barry White
Nights In White Satin (Single Version) | The Moody Blues
Girl It's True, Yes I'll Always Love You | Barry White
Calling Occupants Of Interplanetary Craft (The Recognized Anthem Of World Contact Day) (1989 Remix) | Carpenters
(They Long To Be) Close To You (1991 Remix) | Carpenters
It's Not Unusual | Tom Jones
Because I Love You (The Postman Song) | Stevie B
Is This Love | Bob Marley & The Wailers
Uptown Girl | Billy Joel
Piano Man | Billy Joel
Have I Told You Lately (2008 Remaster) | Rod Stewart
Isn't It Romantic | Rod Stewart
Just the Way You Are | Billy Joel
Woman in Love | Barbra Streisand
Up Where We Belong (From "An Officer And A Gentleman") | Joe Cocker
Is This Love (2007 Remaster) | Whitesnake
Baby, I Love Your Way | Peter Frampton
Baby Come Back | Player
Love Is | Brian McKnight
This Is It | Michael Jackson
I Just Can't Stop Loving You (feat. Siedah Garrett) (Remastered) | Michael Jackson
Strange Magic | Electric Light Orchestra
Can't Get It out of My Head | Electric Light Orchestra
Confusion | Electric Light Orchestra
Telephone Line | Electric Light Orchestra
Sweet Talkin' Woman | Electric Light Orchestra
Have You Seen Her | The Chi-Lites
Love Is In The Air | John Paul Young
You Make Me Feel Brand New | The Stylistics
Forever And Ever | Demis Roussos
Just the Two of Us | Grover Washington, Jr.
Sunrise | Simply Red
Wildfire | Michael Martin Murphey
If | Bread
(If Loving You Is Wrong) I Don't Want to Be Right | Luther Ingram
The Sound of Silence | Simon & Garfunkel
Suavecito | Malo
Sorry Seems To Be The Hardest Word | Elton John
Come to Me Softly (US Version) | Jimmy James & The Vagabonds
Living Next Door to Alice | Smokie
New Kid in Town (2013 Remaster) | Eagles
Killing Me Softly With His Song | Roberta Flack
Always | Bon Jovi
This Ain't A Love Song (Album Version) | Bon Jovi
If You Leave Me Now | Chicago
(Just Like) Starting Over (Remastered 2010) | John Lennon
Woman (Remastered 2010) | John Lennon
Hope Of Deliverance | Paul McCartney
Torn Between Two Lovers | Mary MacGregor
If You Don't Know Me by Now (feat. Teddy Pendergrass) | Harold Melvin & The Blue Notes
Un-Break My Heart | Toni Braxton
You'll Never Find Another Love Like Mine | Lou Rawls
San Francisco (Be Sure to Wear Flowers in Your Hair) | Scott McKenzie
Kiss and Say Goodbye | The Manhattans
You | Ten Sharp
All Around the World | Lisa Stansfield
Don't Answer Me (Remastered) | The Alan Parsons Project
Time | The Alan Parsons Project
Eye In The Sky | The Alan Parsons Project
Just Don't Want to Be Lonely | The Main Ingredient
If You Don't Know Me by Now (2008 Remaster) | Simply Red
The Promise | When in Rome
And I Love Her (Remastered 2009) | The Beatles
Fallin' in Love | Hamilton
Let's Get It On | Marvin Gaye
Can I Touch You...There? | Michael Bolton
Don't Go Breaking My Heart | Elton John
All Out of Love | Air Supply
Making Love Out of Nothing at All | Air Supply
Lost In Love | Air Supply
The One That You Love | Air Supply
Even the Nights Are Better | Air Supply
High | Lighthouse Family
Believe | Cher
Lyin' Eyes (2013 Remaster) | Eagles
One of These Nights (2013 Remaster) | Eagles
These Eyes | The Guess Who
Waiting for a Girl like You | Foreigner
Rock With You | Michael Jackson
Sacrifice | Elton John
Don't Dream It's Over | Crowded House
Cherish | Kool & The Gang
I'm Not In Love | 10cc
Babe | Styx
This Love | Maroon 5
She Will Be Loved | Maroon 5
Knocks Me Off My Feet (Album Version) | Stevie Wonder
I Need You | America
Achy Breaky Heart | Billy Ray Cyrus
Never My Love (Remastered Version) | The Association
Sweet Love | Anita Baker
Oh Girl | The Chi-Lites
One in a Million You | Larry Graham
Jenny | The Stylistics
Wicked Game | Chris Isaak
I'm Falling in Love with You | Little Anthony & The Imperials
Too Much Heaven | Bee Gees
Emotion | Samantha Sang
I Just Want To Be Your Everything | Andy Gibb
Midnight Blue | Electric Light Orchestra
Happy Man | Chicago
Sitting In The Park (Single Version) | Billy Stewart
Mr. Brightside | The Killers
Never Gonna Let You Go | Sergio Mendes
I Swear | All-4-One
