Blue Blood | Various Artists
Derby Day | Various Artists
Funky Fanfare | Syd Dale
Sleepy Shores | Various Artists
Perfume from Panama | György Behár
Hollywood Holiday | Various Artists
The Professionals - Theme | Laurie Johnson
Amazing Grace | Carlos Diernhammer
Hackney Carriage | Various Artists
Workaday World | Various Artists
Pulse of Industry (Suite) No. 1-6 | Various Artists
Do That to Me One More Time | Various Artists
Theme from ''The Avengers'' | Various Artists
Image | Syd Dale
Chmel je naše zlato | Various Artists
Jive Me Baby | Various Artists
Prima Bossa Nova | Various Artists
Winter Landscape | Franco Tamponi
Nicola | Various Artists
Romance in Paris | Various Artists
Gay Time | Various Artists
Derby Day | Various Artists
Bargains Galore | Various Artists
Blue Blood | Various Artists
The Professionals - Theme | Laurie Johnson
Hollywood Holiday | Various Artists
Spring Fashion | Various Artists
Action Line | Sam Fonteyn
Out on the Town | Various Artists
