Window Gazing | Celebrity Symphony Orchestra
Holiday Romance | Ib Glindemann
I Won’t Dance | Syd Dale Pied Pipers
Gay Time | Alan Perry
Glitterati Party | Werner Tautz
Bargains Galore | Dennis Berry
I Feel A Song Coming On | Syd Dale Pied Pipers
Temptation Sensation | Heinz Kiessling
Off Broadway | Werner Tautz
Happy-Go-Lively | Laurie Johnson
Hollywood Holiday | Frank Samuels
How High The Moon | Syd Dale Pied Pipers
Curtain-Raiser | Alan Braden
Spring in New York | Sam Fonteyn
Be Careful It’s My Heart | Syd Dale Pied Pipers
Out on the Town | Lew Vincent
Paris Honeymoon | Laurie Johnson And His Orchestra
Goofus | Syd Dale Pied Pipers
Honeymoon Swoon | Werner Tautz
77 Sunset Strip Cha Cha | Pete Candoli and His Orchestra
